road_name,road_distance,route_name,bus_station,brt_station,peak_hours,average_speed,travel_time,fare,landmark_nearby,road_type,traffic_lights_count,route_type,congestion_level,passenger_capacity,alternative_routes,bus_station_location,brt_station_location,geojson_data
Ali Hassan Mwinyi Road,20.5,Route 18,Mwenge,Gerezani,17:00-19:00,22,20,700,Mlimani City Mall,Feeder Road,9,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.823509, 39.333684","-6.864946, 39.394013","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.333684, -6.823509]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 18', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 18,Mbagala,Gerezani,12:00-14:00,19,79,1000,Mlimani City Mall,Main Road,6,Bus,High,50,Alt-Nyerere Road,"-6.8854, 39.270574","-6.896804, 39.210692","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.270574, -6.8854]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 18', 'station': 'Mbagala', 'congestion_level': 'High'}}"
Bagamoyo Road,15.3,Route 19,Mbagala,Kariakoo,12:00-14:00,11,49,500,Posta City Center,Feeder Road,6,Bus,High,50,Alt-Bagamoyo Road,"-6.883129, 39.364032","-6.854362, 39.350643","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.364032, -6.883129]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 19', 'station': 'Mbagala', 'congestion_level': 'High'}}"
Sam Nujoma Road,20.5,Route 13,Kimara,Kariakoo,12:00-14:00,56,101,1000,Posta City Center,Feeder Road,3,Bus,Low,50,Alt-Sam Nujoma Road,"-6.898398, 39.299037","-6.81298, 39.23939","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.299037, -6.898398]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 13', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Morogoro Road,15.3,Route 5,Sinza,Kivukoni,17:00-19:00,39,78,500,Mlimani City Mall,Highway,9,Bus,Medium,50,Alt-Morogoro Road,"-6.717416, 39.307424","-6.758348, 39.36424","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.307424, -6.717416]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 5', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,18.7,Route 14,Tegeta,Kariakoo,12:00-14:00,10,114,700,Uhuru Stadium,Highway,3,Bus,High,50,Alt-Sam Nujoma Road,"-6.874205, 39.389793","-6.821136, 39.214055","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.389793, -6.874205]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 14', 'station': 'Tegeta', 'congestion_level': 'High'}}"
Sam Nujoma Road,15.3,Route 19,Kariakoo,Ubungo,17:00-19:00,43,10,1500,Uhuru Stadium,Feeder Road,8,Bus,Low,50,Alt-Sam Nujoma Road,"-6.767619, 39.321043","-6.821184, 39.399716","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.321043, -6.767619]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 19', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Sam Nujoma Road,20.5,Route 17,Kariakoo,Kariakoo,07:00-09:00,41,37,1500,Posta City Center,Main Road,6,Bus,Low,50,Alt-Sam Nujoma Road,"-6.798982, 39.398353","-6.843557, 39.309677","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.398353, -6.798982]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 17', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Nyerere Road,15.3,Route 19,Magomeni,Gerezani,17:00-19:00,33,107,1000,National Stadium,Feeder Road,2,Bus,Medium,50,Alt-Nyerere Road,"-6.867383, 39.305882","-6.745672, 39.262668","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.305882, -6.867383]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 19', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 13,Mwenge,Kimara,07:00-09:00,24,21,1000,Kariakoo Market,Highway,0,Bus,Medium,50,Alt-Morogoro Road,"-6.756779, 39.345763","-6.852537, 39.395765","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.345763, -6.756779]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 13', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,15.3,Route 18,Mbagala,Mbezi,07:00-09:00,48,108,700,Kariakoo Market,Main Road,7,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.803191, 39.231181","-6.855177, 39.316545","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.231181, -6.803191]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 18', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Morogoro Road,25.6,Route 20,Buguruni,Kariakoo,12:00-14:00,32,81,500,National Stadium,Feeder Road,0,Bus,Medium,50,Alt-Morogoro Road,"-6.769951, 39.302849","-6.776764, 39.321539","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.302849, -6.769951]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 20', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Morogoro Road,15.3,Route 18,Tegeta,Ubungo,12:00-14:00,29,74,2000,National Stadium,Highway,1,Bus,Medium,50,Alt-Morogoro Road,"-6.849767, 39.397273","-6.758613, 39.298713","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.397273, -6.849767]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 18', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,25.6,Route 4,Mwenge,Kivukoni,12:00-14:00,20,37,700,Uhuru Stadium,Main Road,4,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.780848, 39.275772","-6.7268, 39.253771","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.275772, -6.780848]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 4', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Bagamoyo Road,20.5,Route 18,Buguruni,Gerezani,17:00-19:00,50,86,700,Kariakoo Market,Main Road,9,Bus,Low,50,Alt-Bagamoyo Road,"-6.861777, 39.300556","-6.811801, 39.291566","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.300556, -6.861777]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 18', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,15.3,Route 15,Ubungo,Magomeni,12:00-14:00,55,21,500,Mlimani City Mall,Highway,6,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.80484, 39.273697","-6.822516, 39.228069","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.273697, -6.80484]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 15', 'station': 'Ubungo', 'congestion_level': 'Low'}}"
Nyerere Road,12.2,Route 19,Magomeni,Kimara,17:00-19:00,14,21,1500,Posta City Center,Feeder Road,4,Bus,High,50,Alt-Nyerere Road,"-6.716792, 39.274867","-6.847284, 39.231621","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.274867, -6.716792]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 19', 'station': 'Magomeni', 'congestion_level': 'High'}}"
Nyerere Road,18.7,Route 11,Posta,Kivukoni,07:00-09:00,57,44,700,Kariakoo Market,Highway,9,Bus,Low,50,Alt-Nyerere Road,"-6.873143, 39.283513","-6.856694, 39.218074","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.283513, -6.873143]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 11', 'station': 'Posta', 'congestion_level': 'Low'}}"
Sam Nujoma Road,15.3,Route 5,Ubungo,Gerezani,12:00-14:00,34,32,2000,Kariakoo Market,Feeder Road,1,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.727836, 39.241136","-6.794408, 39.222996","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.241136, -6.727836]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 5', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Nyerere Road,18.7,Route 1,Kariakoo,Magomeni,17:00-19:00,13,78,1500,National Stadium,Highway,0,Bus,High,50,Alt-Nyerere Road,"-6.780359, 39.253383","-6.868312, 39.293927","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.253383, -6.780359]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 1', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
Morogoro Road,20.5,Route 5,Sinza,Kimara,12:00-14:00,13,16,500,Posta City Center,Feeder Road,3,Bus,High,50,Alt-Morogoro Road,"-6.890072, 39.210243","-6.833938, 39.311837","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.210243, -6.890072]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 5', 'station': 'Sinza', 'congestion_level': 'High'}}"
Sam Nujoma Road,25.6,Route 7,Mbagala,Gerezani,07:00-09:00,40,12,1500,Uhuru Stadium,Feeder Road,1,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.778388, 39.260246","-6.78207, 39.293391","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.260246, -6.778388]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 7', 'station': 'Mbagala', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 7,Kimara,Magomeni,12:00-14:00,23,22,1500,Mlimani City Mall,Feeder Road,5,Bus,Medium,50,Alt-Morogoro Road,"-6.727634, 39.322447","-6.704299, 39.306288","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.322447, -6.727634]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 7', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,12.2,Route 9,Buguruni,Kimara,17:00-19:00,38,62,2000,Mlimani City Mall,Highway,5,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.829565, 39.215467","-6.891984, 39.337786","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.215467, -6.829565]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 9', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Nyerere Road,20.5,Route 3,Posta,Kivukoni,17:00-19:00,35,26,500,National Stadium,Highway,5,Bus,Medium,50,Alt-Nyerere Road,"-6.746067, 39.363689","-6.819024, 39.380017","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.363689, -6.746067]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 3', 'station': 'Posta', 'congestion_level': 'Medium'}}"
Morogoro Road,12.2,Route 7,Posta,Kivukoni,17:00-19:00,19,109,1000,National Stadium,Highway,3,Bus,High,50,Alt-Morogoro Road,"-6.859042, 39.300144","-6.848134, 39.352209","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.300144, -6.859042]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 7', 'station': 'Posta', 'congestion_level': 'High'}}"
Nyerere Road,18.7,Route 8,Mbagala,Kivukoni,17:00-19:00,14,43,500,Kariakoo Market,Feeder Road,7,Bus,High,50,Alt-Nyerere Road,"-6.831729, 39.3869","-6.801866, 39.244154","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.3869, -6.831729]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 8', 'station': 'Mbagala', 'congestion_level': 'High'}}"
Nyerere Road,20.5,Route 2,Sinza,Kariakoo,17:00-19:00,23,32,1500,Mlimani City Mall,Highway,1,Bus,Medium,50,Alt-Nyerere Road,"-6.766626, 39.322826","-6.708808, 39.383894","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.322826, -6.766626]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 2', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 18,Magomeni,Ubungo,12:00-14:00,10,51,1500,Mlimani City Mall,Feeder Road,3,Bus,High,50,Alt-Nyerere Road,"-6.872475, 39.226793","-6.769476, 39.200044","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.226793, -6.872475]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 18', 'station': 'Magomeni', 'congestion_level': 'High'}}"
Morogoro Road,15.3,Route 18,Magomeni,Kimara,17:00-19:00,31,112,700,National Stadium,Main Road,8,Bus,Medium,50,Alt-Morogoro Road,"-6.777522, 39.218703","-6.72611, 39.361873","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.218703, -6.777522]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 18', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Morogoro Road,15.3,Route 5,Mwenge,Gerezani,07:00-09:00,53,97,500,National Stadium,Highway,1,Bus,Low,50,Alt-Morogoro Road,"-6.731655, 39.3215","-6.724153, 39.345242","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.3215, -6.731655]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 5', 'station': 'Mwenge', 'congestion_level': 'Low'}}"
Nyerere Road,12.2,Route 16,Magomeni,Gerezani,07:00-09:00,44,11,1500,Posta City Center,Feeder Road,4,Bus,Low,50,Alt-Nyerere Road,"-6.769914, 39.261905","-6.713725, 39.25536","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.261905, -6.769914]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 16', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,25.6,Route 9,Ubungo,Gerezani,17:00-19:00,18,24,1000,National Stadium,Main Road,0,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.739719, 39.21286","-6.886814, 39.317151","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.21286, -6.739719]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 9', 'station': 'Ubungo', 'congestion_level': 'High'}}"
Morogoro Road,20.5,Route 9,Magomeni,Gerezani,12:00-14:00,11,43,500,Uhuru Stadium,Main Road,7,Bus,High,50,Alt-Morogoro Road,"-6.723989, 39.249675","-6.813238, 39.319166","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.249675, -6.723989]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 9', 'station': 'Magomeni', 'congestion_level': 'High'}}"
Sam Nujoma Road,15.3,Route 17,Buguruni,Magomeni,17:00-19:00,44,47,1500,Uhuru Stadium,Main Road,0,Bus,Low,50,Alt-Sam Nujoma Road,"-6.783832, 39.363812","-6.753798, 39.37993","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.363812, -6.783832]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 17', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Nyerere Road,20.5,Route 5,Mwenge,Mbezi,17:00-19:00,29,35,1500,Mlimani City Mall,Feeder Road,0,Bus,Medium,50,Alt-Nyerere Road,"-6.88594, 39.242366","-6.744699, 39.249784","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.242366, -6.88594]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 5', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 5,Kariakoo,Kivukoni,17:00-19:00,30,96,500,Mlimani City Mall,Main Road,8,Bus,Medium,50,Alt-Nyerere Road,"-6.860893, 39.398354","-6.705473, 39.345411","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.398354, -6.860893]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 5', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Nyerere Road,18.7,Route 8,Mbagala,Kariakoo,12:00-14:00,29,112,700,Posta City Center,Main Road,9,Bus,Medium,50,Alt-Nyerere Road,"-6.877361, 39.298695","-6.795958, 39.366827","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.298695, -6.877361]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 8', 'station': 'Mbagala', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,25.6,Route 18,Magomeni,Mbezi,07:00-09:00,59,77,1500,Uhuru Stadium,Highway,3,Bus,Low,50,Alt-Sam Nujoma Road,"-6.869815, 39.2294","-6.88862, 39.365281","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.2294, -6.869815]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 18', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Morogoro Road,18.7,Route 17,Magomeni,Kimara,12:00-14:00,59,89,2000,Kariakoo Market,Feeder Road,6,Bus,Low,50,Alt-Morogoro Road,"-6.721875, 39.386656","-6.723727, 39.323228","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.386656, -6.721875]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 17', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Bagamoyo Road,20.5,Route 17,Kimara,Mbezi,12:00-14:00,48,16,500,Mlimani City Mall,Highway,4,Bus,Low,50,Alt-Bagamoyo Road,"-6.843025, 39.23206","-6.856014, 39.243241","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.23206, -6.843025]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 17', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Morogoro Road,20.5,Route 3,Sinza,Kimara,07:00-09:00,40,18,1500,Uhuru Stadium,Main Road,7,Bus,Medium,50,Alt-Morogoro Road,"-6.785585, 39.399153","-6.883187, 39.206476","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.399153, -6.785585]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 3', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 4,Mbagala,Kimara,17:00-19:00,30,28,700,Uhuru Stadium,Highway,5,Bus,Medium,50,Alt-Morogoro Road,"-6.844281, 39.266744","-6.731022, 39.33006","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.266744, -6.844281]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 4', 'station': 'Mbagala', 'congestion_level': 'Medium'}}"
Bagamoyo Road,12.2,Route 3,Magomeni,Gerezani,07:00-09:00,19,96,2000,Posta City Center,Highway,6,Bus,High,50,Alt-Bagamoyo Road,"-6.88748, 39.251391","-6.830062, 39.224389","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.251391, -6.88748]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 3', 'station': 'Magomeni', 'congestion_level': 'High'}}"
Morogoro Road,18.7,Route 11,Mbagala,Magomeni,17:00-19:00,54,14,700,National Stadium,Feeder Road,2,Bus,Low,50,Alt-Morogoro Road,"-6.709247, 39.348906","-6.815349, 39.211786","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.348906, -6.709247]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 11', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Sam Nujoma Road,18.7,Route 20,Posta,Gerezani,17:00-19:00,50,69,700,Posta City Center,Highway,3,Bus,Low,50,Alt-Sam Nujoma Road,"-6.744976, 39.278447","-6.723466, 39.337623","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.278447, -6.744976]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 20', 'station': 'Posta', 'congestion_level': 'Low'}}"
Sam Nujoma Road,15.3,Route 8,Posta,Magomeni,12:00-14:00,13,57,1000,Posta City Center,Feeder Road,5,Bus,High,50,Alt-Sam Nujoma Road,"-6.854937, 39.308564","-6.710712, 39.260931","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.308564, -6.854937]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 8', 'station': 'Posta', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,15.3,Route 12,Tegeta,Kimara,12:00-14:00,18,15,500,Kariakoo Market,Main Road,8,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.876736, 39.36734","-6.823916, 39.296613","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.36734, -6.876736]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 12', 'station': 'Tegeta', 'congestion_level': 'High'}}"
Sam Nujoma Road,18.7,Route 7,Kimara,Kariakoo,07:00-09:00,45,39,1500,Kariakoo Market,Highway,4,Bus,Low,50,Alt-Sam Nujoma Road,"-6.815098, 39.374667","-6.808974, 39.226086","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.374667, -6.815098]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 7', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Sam Nujoma Road,25.6,Route 13,Tegeta,Kimara,12:00-14:00,19,13,2000,Posta City Center,Feeder Road,5,Bus,High,50,Alt-Sam Nujoma Road,"-6.848764, 39.322767","-6.881333, 39.293678","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.322767, -6.848764]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 13', 'station': 'Tegeta', 'congestion_level': 'High'}}"
Bagamoyo Road,15.3,Route 2,Mwenge,Kivukoni,07:00-09:00,33,45,1000,National Stadium,Main Road,5,Bus,Medium,50,Alt-Bagamoyo Road,"-6.740002, 39.205443","-6.868515, 39.311307","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.205443, -6.740002]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 2', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Bagamoyo Road,15.3,Route 20,Ubungo,Magomeni,12:00-14:00,24,93,700,Posta City Center,Feeder Road,9,Bus,Medium,50,Alt-Bagamoyo Road,"-6.881888, 39.280937","-6.779046, 39.388471","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.280937, -6.881888]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 20', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,20.5,Route 2,Sinza,Mbezi,12:00-14:00,49,65,1000,Mlimani City Mall,Feeder Road,9,Bus,Low,50,Alt-Sam Nujoma Road,"-6.8223, 39.254644","-6.703931, 39.344741","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.254644, -6.8223]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 2', 'station': 'Sinza', 'congestion_level': 'Low'}}"
Morogoro Road,25.6,Route 12,Sinza,Kimara,07:00-09:00,15,55,1500,Uhuru Stadium,Main Road,2,Bus,High,50,Alt-Morogoro Road,"-6.722465, 39.374357","-6.76194, 39.293298","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.374357, -6.722465]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 12', 'station': 'Sinza', 'congestion_level': 'High'}}"
Nyerere Road,25.6,Route 11,Sinza,Kimara,07:00-09:00,49,102,700,National Stadium,Highway,8,Bus,Low,50,Alt-Nyerere Road,"-6.737057, 39.356615","-6.769051, 39.317727","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.356615, -6.737057]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 11', 'station': 'Sinza', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,25.6,Route 12,Ubungo,Kariakoo,07:00-09:00,18,37,2000,Uhuru Stadium,Main Road,8,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.742796, 39.383239","-6.781261, 39.262442","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.383239, -6.742796]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 12', 'station': 'Ubungo', 'congestion_level': 'High'}}"
Sam Nujoma Road,15.3,Route 8,Buguruni,Mbezi,17:00-19:00,27,28,700,Kariakoo Market,Highway,6,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.840952, 39.34713","-6.760802, 39.38245","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.34713, -6.840952]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 8', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Bagamoyo Road,25.6,Route 12,Kimara,Kivukoni,12:00-14:00,31,41,1000,National Stadium,Highway,8,Bus,Medium,50,Alt-Bagamoyo Road,"-6.764449, 39.291862","-6.761389, 39.251507","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.291862, -6.764449]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 12', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,15.3,Route 18,Magomeni,Kimara,17:00-19:00,24,80,1000,Uhuru Stadium,Main Road,9,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.871458, 39.25406","-6.892989, 39.271912","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.25406, -6.871458]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 18', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Nyerere Road,18.7,Route 6,Ubungo,Kariakoo,17:00-19:00,30,53,1000,Mlimani City Mall,Feeder Road,5,Bus,Medium,50,Alt-Nyerere Road,"-6.849018, 39.309008","-6.801358, 39.274179","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.309008, -6.849018]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 6', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 10,Magomeni,Mbezi,07:00-09:00,53,87,1000,Kariakoo Market,Feeder Road,8,Bus,Low,50,Alt-Morogoro Road,"-6.859402, 39.209494","-6.870224, 39.280312","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.209494, -6.859402]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 10', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Nyerere Road,15.3,Route 10,Mwenge,Kimara,12:00-14:00,26,115,700,Posta City Center,Highway,4,Bus,Medium,50,Alt-Nyerere Road,"-6.820773, 39.273165","-6.761541, 39.333385","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.273165, -6.820773]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 10', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,18.7,Route 12,Sinza,Gerezani,12:00-14:00,49,98,1500,National Stadium,Feeder Road,4,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.820423, 39.295774","-6.711924, 39.372384","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.295774, -6.820423]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 12', 'station': 'Sinza', 'congestion_level': 'Low'}}"
